new entry "INSPIRED_FEAR"
type "StatusData"
data "StatusType" "FEAR"
data "DisplayName" "h0ccc63c5g0843g495bg962fg32a4eb78df70;1"
data "Description" "h0865a6fdgabc6g4875gafeege38775aad23e;2"
data "Icon" "Spell_Illusion_Fear"
data "StillAnimationType" "Feared"
data "StillAnimationPriority" "Feared"
data "SoundVocalStart" "WEAK"
data "SoundVocalEnd" "AWAKE"
data "StackId" "FEARED"
data "Boosts" "Disadvantage(AllAbilities);Disadvantage(AttackRoll)"
data "RemoveConditions" "FearStatusSavingCheck()"
data "RemoveEvents" "OnTurn"
data "TooltipSave" "Wisdom"
data "StatusPropertyFlags" "InitiateCombat;OverheadOnTurn"
data "StatusGroups" "SG_Frightened;SG_Condition;SG_Fleeing"
data "TickType" "EndTurn"
data "StatusEffect" "3e8e0b61-ec48-4465-86a4-49dc60986d73"
